   idx  dphi_idx  deta_idx               dphi_val               deta_val                 inv_dr_sq  inv_dr_sq_rounded  inv_dr_sq_fw_lut
    26        26         0     1.1344640137963142                    0.0        0.7769955858015962           0.776996            776996
    27        27         0     1.1780972450961724                    0.0        0.7205061947899575           0.720506            720506
    28        28         0     1.2217304763960306                    0.0        0.6699604795942335            0.66996            669960
    29        29         0      1.265363707695889                    0.0        0.6245529322257776           0.624553            624553
    30        30         0      1.308996938995747                    0.0        0.5836100177798658            0.58361            583610
    31        31         0     1.3526301702956054                    0.0        0.5465650530716744           0.546565            546565
    32        32         0     1.3962634015954636                    0.0        0.5129384921893351           0.512938            512938
    33        33         0      1.439896632895322                    0.0        0.4823223287436905           0.482322            482322
    34        34         0     1.4835298641951802                    0.0        0.4543676609012794           0.454368            454368
    35        35         0     1.5271630954950384                    0.0       0.42877470694030945           0.428775            428775
    36        36         0     1.5707963267948966                    0.0        0.4052847345693511           0.405285            405285
    37        37         0     1.6144295580947547                    0.0       0.38367349598384154           0.383673            383673
    38        38         0      1.658062789394613                    0.0          0.36374585595698           0.363746            363746
    39        39         0     1.7016960206944711                    0.0       0.34533137146737614           0.345331            345331
    40        40         0     1.7453292519943295                    0.0        0.3282806350011744           0.328281            328281
    41        41         0     1.7889624832941875                    0.0         0.312462234385413           0.312462            312462
    42        42         0     1.8325957145940461                    0.0        0.2977602131529926            0.29776            297760
    43        43         0      1.876228945893904                    0.0       0.28407193942773346           0.284072            284072
    44        44         0     1.9198621771937623                    0.0         0.271306309918326           0.271306            271306
    45        45         0     1.9634954084936207                    0.0        0.2593822301243847           0.259382            259382
    46        46         0      2.007128639793479                    0.0       0.24822732325230581           0.248227            248227
    47        47         0     2.0507618710933375                    0.0       0.23777682933539107           0.237777            237777
    48        48         0     2.0943951023931953                    0.0       0.22797266319526002           0.227973            227973
    49        49         0     2.1380283336930535                    0.0        0.2187626055817906           0.218763            218763
    50        50         0      2.181661564992912                    0.0       0.21009960640075157             0.2101            210100
    51        51         0     2.2252947962927703                    0.0       0.20194118262279082           0.201941            201941
    52        52         0     2.2689280275926285                    0.0       0.19424889645039906           0.194249            194249
    53        53         0     2.3125612588924866                    0.0       0.18698790174506197           0.186988            186988
    54        54         0      2.356194490192345                    0.0       0.18012654869748937           0.180127            180127
    55        55         0      2.399827721492203                    0.0       0.17363603834772862           0.173636            173636
    56        56         0      2.443460952792061                    0.0        0.1674901198985584            0.16749            167490
    57        57         0     2.4870941840919194                    0.0        0.1616648248697689           0.161665            161665
    58        58         0      2.530727415391778                    0.0        0.1561382330564444           0.156138            156138
    59        59         0      2.574360646691636                    0.0        0.1508902660160526            0.15089            150890
    60        60         0      2.617993877991494                    0.0       0.14590250444496644           0.145903            145903
    61        61         0     2.6616271092913526                    0.0       0.14115802633751115           0.141158            141158
    62        62         0      2.705260340591211                    0.0        0.1366412632679186           0.136641            136641
    63        63         0      2.748893571891069                    0.0       0.13233787251244117           0.132338            132338
    64         0         1                    0.0                0.02175        2113.8855859426612        2113.885586        2113885586
    65         1         1    0.04363323129985824                0.02175        420.71227558414273         420.712276         420712276
    66         2         1    0.08726646259971647                0.02175        123.63234813920248         123.632348         123632348
    67         3         1     0.1308996938995747                0.02175         56.79303682051639          56.793037          56793037
    68         4         1    0.17453292519943295                0.02175         32.32604882599103          32.326049          32326049
    69         5         1     0.2181661564992912                0.02175         20.80319715377529          20.803197          20803197
    70         6         1     0.2617993877991494                0.02175         14.49023737204642          14.490237          14490237
    71         7         1    0.30543261909900765                0.02175        10.665284751821863          10.665285          10665285
    72         8         1     0.3490658503988659                0.02175         8.175275926680598           8.175276           8175276
    73         9         1    0.39269908169872414                0.02175         6.464724563031852           6.464725           6464725
    74        10         1     0.4363323129985824                0.02175         5.239471351479502           5.239471           5239471
    75        11         1    0.47996554429844057                0.02175        4.3320051105628545           4.332005           4332005
    76        12         1     0.5235987755982988                0.02175        3.6412794920092804           3.641279           3641279
    77        13         1     0.5672320068981571                0.02175         3.103419478967971           3.103419           3103419
    78        14         1     0.6108652381980153                0.02175        2.6764488965440356           2.676449           2676449
    79        15         1     0.6544984694978735                0.02175         2.331864908622814           2.331865           2331865
    80        16         1     0.6981317007977318                0.02175        2.0497644512660105           2.049764           2049764
    81        17         1     0.7417649320975901                0.02175        1.8159093661233445           1.815909           1815909
    82        18         1     0.7853981633974483                0.02175        1.6198966394814283           1.619897           1619897
    83        19         1     0.8290313946973065                0.02175        1.4539826503381703           1.453983           1453983
    84        20         1     0.8726646259971648                0.02175          1.31230734907339           1.312307           1312307
    85        21         1     0.9162978572970231                0.02175        1.1903701543050538            1.19037           1190370
    86        22         1     0.9599310885968811                0.02175        1.0846683933023766           1.084668           1084668
    87        23         1     1.0035643198967394                0.02175        0.9924431343781883           0.992443            992443
    88        24         1     1.0471975511965976                0.02175        0.9114974498517611           0.911497            911497
    89        25         1      1.090830782496456                0.02175        0.8400644487573172           0.840064            840064
    90        26         1     1.1344640137963142                0.02175        0.7767100924346503            0.77671            776710
    91        27         1     1.1780972450961724                0.02175        0.7202606979200388           0.720261            720261
    92        28         1     1.2217304763960306                0.02175         0.669748214163336           0.669748            669748
    93        29         1      1.265363707695889                0.02175        0.6243684609584232           0.624368            624368
    94        30         1      1.308996938995747                0.02175        0.5834489368553937           0.583449            583449
    95        31         1     1.3526301702956054                0.02175        0.5464237700529222           0.546424            546424
    96        32         1     1.3962634015954636                0.02175        0.5128140568505241           0.512814            512814
    97        33         1      1.439896632895322                0.02175       0.48221230303440193           0.482212            482212
    98        34         1     1.4835298641951802                0.02175       0.45427001814949725            0.45427            454270
    99        35         1     1.5271630954950384                0.02175       0.42868775310187685           0.428688            428688
   100        36         1     1.5707963267948966                0.02175        0.4052070462444603           0.405207            405207
   101        37         1     1.6144295580947547                0.02175       0.38360387128922746           0.383604            383604
   102        38         1      1.658062789394613                0.02175        0.3636832753304967           0.363683            363683
   103        39         1     1.7016960206944711                0.02175       0.34527496620192344           0.345275            345275
   104        40         1     1.7453292519943295                0.02175       0.32822966183473157            0.32823            328230
   105        41         1     1.7889624832941875                0.02175        0.3124160548668947           0.312416            312416
   106        42         1     1.8325957145940461                0.02175       0.29771827679742624           0.297718            297718
   107        43         1      1.876228945893904                0.02175       0.28403376989556306           0.284034            284034
   108        44         1     1.9198621771937623                0.02175        0.2712714936215454           0.271271            271271
   109        45         1     1.9634954084936207                0.02175         0.259350406790452            0.25935            259350
   110        46         1      2.007128639793479                0.02175       0.24819817807539107           0.248198            248198
   111        47         1     2.0507618710933375                0.02175       0.23775008642077955            0.23775            237750
   112        48         1     2.0943951023931953                0.02175       0.22794808006208217           0.227948            227948
