 dphi  deta               dphi_val               deta_val                 inv_dr_sq  inv_dr_sq_rounded  inv_dr_sq_fw_lut
   13     1     0.5672320068981571                 0.0435        3.0898109192753744            3.08981            308981
   14     1     0.6108652381980153                 0.0435         2.666321187955466            2.66632            266632
   15     1     0.6544984694978735                 0.0435        2.3241733971864886            2.32417            232417
   16     1     0.6981317007977318                 0.0435        2.0438189816701495            2.04382            204382
   17     1     0.7417649320975901                 0.0435        1.8112415866795057            1.81124            181124
   18     1     0.7853981633974483                 0.0435         1.616181140757963            1.61618            161618
   19     1     0.8290313946973065                 0.0435         1.450988573139461            1.45099            145099
   20     1     0.8726646259971648                 0.0435        1.3098678378698756            1.30987            130987
   21     1     0.9162978572970231                 0.0435         1.188362583940098            1.18836            118836
   22     1     0.9599310885968811                 0.0435        1.0830012776407136              1.083            108300
   23     1     1.0035643198967394                 0.0435        0.9910472810598168            0.99105             99105
